Player,Mat,Inns,Runs,Avg,BF,SR,100,50,4s,6s
Lalit Yadav,12,8,161,23,146,110.27,0,0,11,7
Deepak Hooda,12,11,160,16,123,130.08,0,1,9,9
Suresh Raina,12,11,160,17.77,128,125,0,1,13,9
Matthew Wade,10,10,157,15.7,138,113.76,0,0,23,2
Marcus Stoinis,11,10,156,19.5,106,147.16,0,0,7,13
Rahul Tewatia,14,11,155,15.5,147,105.44,0,0,11,6
Shahrukh Khan,11,10,153,21.85,114,134.21,0,0,9,10
Steve Smith,8,7,152,25.33,135,112.59,0,0,13,2
Evin Lewis,5,5,151,30.2,93,162.36,0,1,18,7
Jason Roy,5,5,150,30,121,123.96,0,1,21,1
Aiden Markram,6,6,146,29.2,119,122.68,0,0,12,4
Sai Sudharsan,5,5,145,36.25,114,127.19,0,1,14,3
Kieron Pollard,11,11,144,14.4,134,107.46,0,0,6,9
Krunal Pandya,13,12,143,14.3,123,116.26,0,0,10,6
Ajinkya Rahane,7,7,133,19,128,103.9,0,0,14,4
Eoin Morgan,17,16,133,11.08,139,95.68,0,0,8,6
Wriddhiman Saha,9,9,131,14.55,140,93.57,0,0,7,5
Anuj Rawat,8,8,129,16.13,118,109.32,0,1,10,7
Hardik Pandya,12,11,127,14.11,112,113.39,0,0,11,5
David Miller,9,8,124,24.8,113,109.73,0,1,11,3
Shardul Thakur,14,10,120,15,87,137.93,0,0,7,7
Shahrukh Khan,8,8,117,16.71,108,108.33,0,0,4,9
Ravindra Jadeja,10,10,116,19.33,98,118.36,0,0,6,5
Robin Uthappa,4,4,115,28.75,84,136.9,0,1,8,5
Saurabh Tiwary,5,4,115,57.5,97,118.55,0,1,10,2
MS Dhoni,16,11,114,16.28,107,106.54,0,0,12,3
Abdul Samad,11,10,111,12.33,87,127.58,0,0,4,8
Abhinav Manohar,8,7,108,18,75,144,0,0,14,3
Washington Sundar,9,7,101,14.43,69,146.37,0,0,9,3
Abhishek Sharma,8,7,98,16.33,75,130.66,0,0,7,4
Mahipal Lomror,4,4,94,31.33,73,128.76,0,0,3,6
Pat Cummins,7,5,93,31,56,166.07,0,1,5,8
Riyan Parag,11,10,93,11.62,83,112.04,0,0,6,4
Rashid Khan,16,8,91,22.75,44,206.81,0,0,3,9
Sarfaraz Khan,6,5,91,30.33,67,135.82,0,0,9,2
Marcus Stoinis,10,7,89,22.25,72,123.61,0,0,11,1
Manish Pandey,6,6,88,14.67,80,110,0,0,9,2
Aaron Finch,5,5,86,17.2,61,140.98,0,1,10,3
Mahipal Lomror,7,5,86,17.2,57,150.87,0,0,7,4
Jason Holder,8,7,85,14.16,72,118.05,0,0,2,6
Nicholas Pooran,12,11,85,7.72,76,111.84,0,0,3,5
Rashid Khan,14,10,83,10.37,69,120.28,0,0,9,2
Rahul Chahar,13,8,77,12.83,68,113.23,0,0,7,4
Evin Lewis,6,5,73,24.33,56,130.35,0,1,8,3
Priyam Garg,5,5,72,14.4,74,97.29,0,0,2,3
Rajat Patidar,4,4,71,17.75,62,114.51,0,0,3,3
Sunil Narine,14,10,71,8.88,40,177.5,0,0,6,6
Shashank Singh,10,5,69,17.25,47,146.8,0,0,5,4
Lalit Yadav,7,5,68,34,73,93.15,0,0,7,0
Chris Morris,11,7,67,13.4,49,136.73,0,0,2,5
Suyash S Prabhudessai,5,5,67,13.4,59,113.55,0,0,7,2
Kyle Jamieson,9,7,65,16.25,55,118.18,0,0,5,3
Harpreet Brar,7,5,64,0,58,110.34,0,0,3,2
Pat Cummins,5,5,63,15.75,24,262.5,0,1,5,6
Sunil Narine,14,10,62,7.75,47,131.91,0,0,3,5
Harshal Patel,15,8,59,14.75,46,128.26,0,0,6,2
Jaydev Unadkat,5,5,59,19.67,37,159.45,0,0,4,3
Shahbaz Ahmed,11,7,59,8.42,53,111.32,0,0,4,2
Jason Holder,12,8,58,9.67,44,131.81,0,0,2,6
Romario Shepherd,3,3,58,29,41,141.46,0,0,2,5
Vijay Shankar,7,5,58,11.6,52,111.53,0,0,1,3
Sam Curran,9,4,56,18.66,29,193.1,0,0,5,3
Kedar Jadhav,6,5,55,13.75,52,105.76,0,0,2,2
Umesh Yadav,12,7,55,13.75,40,137.5,0,0,4,4
Odean Smith,6,6,51,17,44,115.9,0,0,1,5
Chris Lynn,1,1,49,49,35,140,0,0,4,3
Kagiso Rabada,13,8,48,9.6,43,111.62,0,0,5,2
Kuldeep Yadav,14,7,48,48,52,92.3,0,0,3,2
Dwayne Bravo,11,3,47,47,18,261.11,0,0,3,4
Shakib Al Hasan,8,6,47,9.4,48,97.91,0,0,3,1
Priyam Garg,2,2,46,23,33,139.39,0,0,4,2
Ramandeep Singh,5,4,45,22.5,40,112.5,0,0,3,1
Dwaine Pretorius,6,5,44,11,28,157.14,0,0,3,3
Ravichandran Ashwin,13,5,44,14.66,42,104.76,0,0,2,1
Dushmantha Chameera,12,8,43,10.75,28,153.57,0,0,3,3
Harshal Patel,15,8,43,8.6,39,110.25,0,0,4,2
Hrithik Shokeen,5,3,43,21.5,48,89.58,0,0,5,0
Liam Livingstone,5,5,42,8.4,41,102.43,0,0,3,1
Manan Vohra,4,4,42,10.5,39,107.69,0,0,5,2
Jaydev Unadkat,6,3,41,20.5,29,141.37,0,0,3,2
Axar Patel,12,6,40,8,46,86.95,0,0,2,1
Jagadeesan Narayan,2,2,40,40,37,108.1,0,0,3,1
Trent Boult,16,8,40,20,29,137.93,0,0,2,1
Daniel Sams,11,10,38,5.43,36,105.55,0,0,1,3
Wanindu Hasaranga,16,7,38,5.43,43,88.37,0,0,4,1
Rishi Dhawan,6,4,37,18.5,40,92.5,0,0,4,2
Bhuvneshwar Kumar,11,7,34,34,30,113.33,0,0,3,0
Jayant Yadav,5,3,34,17,26,130.76,0,0,2,1
Mohammad Nabi,3,3,34,11.33,20,170,0,0,3,2
Daryl Mitchell,2,2,33,16.5,44,75,0,0,1,0
Sherfane Rutherford,3,2,33,16.5,50,66,0,0,1,1
Chris Jordan,4,2,32,16,21,152.38,0,0,1,3
James Neesham,2,2,31,15.5,27,114.81,0,0,3,0
Moises Henriques,5,4,31,15.5,32,96.87,0,0,0,1
Washington Sundar,6,4,31,7.75,47,65.95,0,0,2,0
Mohammed Siraj,15,5,30,15,33,90.9,0,0,5,0
Dawid Malan,1,1,26,26,26,100,0,0,1,1
Glenn Phillips,3,3,26,13,33,78.78,0,0,1,2
Ripal Patel,2,2,25,25,27,92.59,0,0,3,0
Shivam Mavi,9,2,25,12.5,20,125,0,0,2,2
Bhuvneshwar Kumar,14,6,24,8,26,92.3,0,0,3,0
Tim Seifert,2,2,24,12,19,126.31,0,0,4,0
Dwayne Bravo,10,6,23,11.5,24,95.83,0,0,1,1
Mohsin Khan,9,3,23,23,16,143.75,0,0,2,1
Sheldon Jackson,5,5,23,5.75,26,88.46,0,0,0,1
Avesh Khan,13,4,22,22,13,169.23,0,0,0,3
Harpreet Brar,5,3,22,7.33,25,88,0,0,1,2
Mitchell Santner,6,4,22,11,27,81.48,0,0,3,0
Rassie van der Dussen,3,3,22,11,24,91.66,0,0,2,0
Arshdeep Singh,14,6,21,7,29,72.41,0,0,3,0
B Indrajith,3,3,21,7,30,70,0,0,2,0
Tom Curran,3,2,21,21,17,123.52,0,0,2,0
Mohammed Siraj,15,4,20,20,26,76.92,0,0,1,1
Manan Vohra,2,1,19,19,11,172.72,0,0,1,2
Prabhsimran Singh,2,2,19,9.5,23,82.6,0,0,1,1
Vijay Shankar,4,4,19,4.75,35,54.28,0,0,1,0
David Willey,4,2,18,9,30,60,0,0,3,0
Josh Hazlewood,12,5,18,0,26,69.23,0,0,1,0
Lockie Ferguson,8,3,18,0,11,163.63,0,0,1,1
Mandeep Singh,3,3,18,6,23,78.26,0,0,4,0
Nathan Ellis,3,2,18,18,16,112.5,0,0,0,1
Adam Milne,4,3,16,8,17,94.11,0,0,0,1
Anmolpreet Singh,1,1,16,16,14,114.28,0,0,2,1
Chetan Sakariya,14,6,16,3.2,25,64,0,0,2,0
Jasprit Bumrah,14,7,16,8,17,94.11,0,0,2,0
Karun Nair,3,2,16,8,18,88.88,0,0,1,0
Chris Woakes,3,1,15,0,11,136.36,0,0,2,0
Jhye Richardson,3,2,15,7.5,24,62.5,0,0,2,0
Mandeep Singh,1,1,15,15,14,107.14,0,0,2,0
Murugan Ashwin,3,2,15,7.5,24,62.5,0,0,1,0
Virat Singh,3,2,15,7.5,26,57.69,0,0,1,0
Dan Christian,9,7,14,2.33,24,58.33,0,0,1,0
Jagadeesha Suchith,2,1,14,0,6,233.33,0,0,2,1
Rahul Chahar,11,5,14,2.8,15,93.33,0,0,1,0
Simran Singh,1,1,14,14,11,127.27,0,0,2,0
Anmolpreet Singh,2,2,13,6.5,13,100,0,0,1,0
Kagiso Rabada,15,3,13,13,6,216.66,0,0,2,0
Mohammad Shami,14,4,13,13,17,76.47,0,0,0,0
Murugan Ashwin,8,5,12,4,14,85.71,0,0,1,1
Varun Chakaravarthy,11,4,12,0,18,66.66,0,0,2,0
Chris Jordan,4,2,11,11,8,137.5,0,0,0,0
Rajangad Bawa,2,2,11,5.5,14,78.57,0,0,1,0
Yuzvendra Chahal,15,2,10,0,27,37.03,0,0,0,0
Marco Jansen,8,3,9,9,7,128.57,0,0,0,1
Shreyas Gopal,1,1,9,0,7,128.57,0,0,2,0
Ajinkya Rahane,2,1,8,8,8,100,0,0,1,0
Fabian Allen,1,1,8,8,7,114.28,0,0,1,0
Mustafizur Rahman,14,5,8,0,14,57.14,0,0,0,1
Obed McCoy,7,1,8,8,5,160,0,0,0,1
Sandeep Sharma,7,2,8,8,7,114.28,0,0,1,0
Siddarth Kaul,8,2,8,0,8,100,0,0,1,0
Srikar Bharat,2,2,8,4,7,114.28,0,0,2,0
Kartik Tyagi,2,2,7,3.5,6,116.66,0,0,1,0
Maheesh Theekshana,9,2,7,7,7,100,0,0,0,1
Rasikh Salam,2,1,7,7,6,116.66,0,0,1,0
Sachin Baby,1,1,7,7,17,41.17,0,0,0,0
Sean Abbott,1,1,7,7,5,140,0,0,0,1
Shreyas Gopal,3,2,7,7,5,140,0,0,0,1
Simarjeet Singh,6,3,7,7,8,87.5,0,0,0,0
Daniel Sams,2,2,6,6,6,100,0,0,0,0
Fabian Allen,4,3,6,6,12,50,0,0,0,0
Mukesh Choudhary,13,2,6,6,6,100,0,0,1,0
Prasidh Krishna,17,3,6,6,12,50,0,0,0,0
Ripal Patel,2,1,6,6,3,200,0,0,0,1
Alzarri Joseph,9,3,5,5,7,71.42,0,0,0,0
Aman Khan,1,1,5,5,3,166.66,0,0,1,0
Avesh Khan,16,1,5,0,3,166.66,0,0,1,0
Lockie Ferguson,13,3,5,2.5,4,125,0,0,1,0
Shardul Thakur,16,4,5,2.5,5,100,0,0,0,0
Vaibhav Arora,5,4,5,2.5,13,38.46,0,0,0,0
Yuzvendra Chahal,17,2,5,5,8,62.5,0,0,0,0
Abdul Samad,2,2,4,2,7,57.14,0,0,0,0
Abhijeet Tomar,1,1,4,4,8,50,0,0,1,0
Harbhajan Singh,3,2,4,0,4,100,0,0,0,0
Karan Sharma,1,1,4,4,4,100,0,0,1,0
Nathan Coulter-Nile,5,2,4,2,5,80,0,0,0,0
Prerak Mankad,1,1,4,0,1,400,0,0,1,0
Umran Malik,14,4,4,4,8,50,0,0,0,0
Kumar Kartikeya Singh,4,1,3,3,5,60,0,0,0,0
Mustafizur Rahman,8,1,3,0,5,60,0,0,0,0
Shivam Mavi,6,3,3,1.5,7,42.85,0,0,0,0
Tim Southee,3,1,3,3,5,60,0,0,0,0
Arshdeep Singh,12,2,2,0,3,66.66,0,0,0,0
Fazalhaq Farooqi,3,1,2,0,8,25,0,0,0,0
George Garton,5,3,2,2,4,50,0,0,0,0
Harshit Rana,2,2,2,2,2,100,0,0,0,0
Jagadeesha Suchith,5,2,2,1,8,25,0,0,0,0
Kartik Tyagi,4,2,2,2,4,50,0,0,0,0
Navdeep Saini,2,1,2,2,2,100,0,0,0,0
Navdeep Saini,2,1,2,2,4,50,0,0,0,0
Pradeep Sangwan,3,1,2,2,5,40,0,0,0,0
Tabraiz Shamsi,1,1,2,0,4,50,0,0,0,0
Tim Seifert,1,1,2,2,4,50,0,0,0,0
Tim Southee,9,5,2,0.5,12,16.66,0,0,0,0
Tristan Stubbs,2,2,2,1,4,50,0,0,0,0
Varun Chakaravarthy,17,3,2,2,4,50,0,0,0,0
Anrich Nortje,6,1,1,0,6,16.66,0,0,0,0
Deepak Chahar,15,2,1,0,1,100,0,0,0,0
Khaleel Ahmed,7,1,1,1,2,50,0,0,0,0
Mujeeb Ur Rahman,1,1,1,0,1,100,0,0,0,0
Nathan Coulter-Nile,1,1,1,0,2,50,0,0,0,0
Ravi Bishnoi,9,1,1,1,4,25,0,0,0,0
Tim David,1,1,1,1,3,33.33,0,0,0,0
Trent Boult,14,4,1,0,4,25,0,0,0,0
Wanindu Hasaranga,2,2,1,1,2,50,0,0,0,0
Anuj Rawat,2,1,0,0,1,0,0,0,0,0
Ben Stokes,1,1,0,0,3,0,0,0,0,0
Jimmy Neesham,3,2,0,0,2,0,0,0,0,0
Kamlesh Nagarkoti,1,1,0,0,2,0,0,0,0,0
Kuldip Yadav,1,1,0,0,4,0,0,0,0,0
Marco Jansen,2,2,0,0,3,0,0,0,0,0
Piyush Chawla,1,1,0,0,2,0,0,0,0,0
Prasidh Krishna,10,2,0,0,1,0,0,0,0,0
Sarfaraz Khan,2,2,0,0,4,0,0,0,0,0
Shahbaz Nadeem,1,1,0,0,1,0,0,0,0,0
